Timestamp,1. Ülke,2. Cinsiyet,3. Sınıf Düzeyi,4. Yapay zekâ bilginizi nasıl değerlendirirsiniz?,"2.1 Yapay zekâ araçlarını (Chatgbt, Gemini, Claude vb.) ne sıklıkla kullanıyorsunuz?",2.2 Yapay zekayı en çok hangi görevler için kullanıyorsunuz? (En fazla 3 seçenek belirleyin) ,"2.2.1 Yapay zekâ kullanarak metin veya içerik oluşturduğunuzda, ortaya çıkan çıktıyı genellikle nasıl yönetirsiniz?","2.2.2 Yapay zekâ tarafından üretilen çıktının kalitesini, kendi başınıza üretebileceğiniz sonuçla karşılaştırdığınızda genellikle nasıl değerlendirirsiniz?","2.2.3 Genel olarak, yapay zekâ kullanımı ödev ve görevleriniz için gereken zaman ve çaba üzerinde nasıl bir etki yaratmaktadır?","2.2.4  Tatmin edici bir sonuç almak için yapay zeka ile etkileşime (örneğin komutları yeniden yazmak, ayarlamalar istemek) genellikle ne kadar zaman ve çaba harcıyorsunuz? ",2.3 İnsan tarafından oluşturulan bir metin ya da görsel ile yapay zekâ tarafından üretilmiş olanı ayırt etme becerinize ne kadar güveniyorsunuz?,"2.3.1  Yapay zekâ aracı size yeni tarihsel, bilimsel ya da olgusal bilgiler sunduğunda genellikle ne yaparsınız?","2.3.2 Yapay zekâ aracının, son derece ikna edici görünmesine rağmen aslında tamamen uydurma olan bir kaynak, bilgi ya da isim ürettiğini hiç fark ettiniz mi?","2.3.3 Yapay zekâ tarafından üretilen görsellerin veya metinlerin kültürel ya da toplumsal cinsiyet kalıp yargılarını yansıttığını (örneğin, doktorların çoğunlukla erkek, hemşirelerin kadın olarak tasvir edilmesi) hiç fark ettiniz mi?","2.4 Okul ve eğitimde yapay zekânın entegrasyonunu düşündüğünüzde, aşağıdaki duygulardan hangileri ağır basıyor? (En fazla 3 seçenek işaretleyiniz)",DS1.1 Yeni bir dijital teknoloji piyasaya sürüldüğünde:,DS1.2 Okul ile ilgili ödev ve görevler için üretken yapay zekâ araçlarını ne sıklıkla kullanırsınız?,DS1.3 Yapay zekâyı öncelikli olarak nasıl görüyorsunuz?,"DS1.5 Öğretmenlerim, eğitim sürecimde yapay zekânın nasıl kullanılacağına ilişkin açık yönergeler ve destek sağlamaktadır.","DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ araçları, ürettikleri metnin anlamını gerçekten “anlar”.]","DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ tarafından sunulan bilgiler genellikle tarafsız, nesnel ve önyargısızdır.]",DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekânın doğası gereği insanlardan daha zeki ve yetkin olduğunu düşünüyorum.],DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâ tarafından üretilen yanıtların doğruluğuna genellikle güvenirim ve başka kaynaklarla doğrulama ihtiyacı hissetmem.],DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Bir üretken yapay zekâ asistanının yanıtları nasıl oluşturduğunu açık bir şekilde anlıyorum.],"DS2 Lütfen Yapay Zekânın nasıl çalıştığına ilişkin aşağıdaki ifadelere katılım düzeyinizi belirtiniz. [Yapay zekâya nasıl soru sorduğumun ya da talepte bulunduğumun, elde edilen sonucun kalitesi üzerinde herhangi bir etkisi yoktur.]",DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Yapay zekâ kullanmadığım hâlde öğretmenlerin beni ödevlerimde haksız şekilde yapay zekâ kullanmakla suçlaması.],"DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Ödevlerimi yapmak için yapay zekâ kullanmanın, eleştirel düşünme ve bağımsız öğrenme becerilerimi zayıflatması.]","DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [İnsan tarafından üretilen içerik ile yapay zekâ tarafından üretilen içeriği ayırt etmenin zorluğu (ör. sahte haberler, deepfake içerikler).]","DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Yapay zekâ araçlarının mevcut toplumsal önyargıları ve ayrımcılığı (ör. cinsiyet, ırk, kültürel kalıp yargılar) pekiştirmesi.]",DS3 Eğitimde yapay zekâ kullanımının aşağıdaki olası sonuçları konusunda ne düzeyde endişe duyuyorsunuz? [Ücretli (premium) yapay zekâ araçlarına eşit olmayan erişimin öğrenciler arasında haksız avantajlar yaratması.],DS3.8 Ücretli (premium) yapay zekâ araçlarına eşit olmayan erişimin öğrenciler arasında haksız avantajlar yaratması.,DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın günlük çalışma/iş görevlerimi önemli ölçüde hızlandırmasını ve beni daha verimli kılmasını bekliyorum.],"DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın, öğrenme materyallerini her öğrencinin bireysel öğrenme hızına ve tarzına göre mükemmel bir şekilde uyarlayabileceğine inanıyorum.]","DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın, farklı bilişsel ihtiyaçları veya dil engelleri olan öğrenciler için öğrenmeyi daha erişilebilir ve kapsayıcı hale getirmesini bekliyorum. ]","DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekayı, kendimi yetersiz hissettirmeden sorularımı yanıtlamak için 7/24 hazır bulunan, yargılayıcı olmayan bir özel ders öğretmeni olarak görüyorum.]",DS4  Lütfen Yapay Zeka ile ilgili beklentilerinize dair aşağıdaki ifadelere katılım düzeyinizi belirtiniz.  [Yapay zekanın gelecekteki üniversite veya kariyer seçimlerim için geleneksel okul rehberliğinden daha iyi bir yönlendirme sağlamasını bekliyorum. ]
15/04/2026 14:51:48,Türkiye,Kadın,3. Yıl (11. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Nadiren,Ödevlere yardımcı olmak / Ders planlaması,"Büyük hataları kontrol etmek için okurum, ancak genel olarak büyük ölçüde olduğu gibi bırakırım.","Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",Zamanım veya çabam üzerinde önemli bir etkisi yok.,Çok az zaman harcarım (genellikle ilk verilen yanıtı kabul ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).",Yapay zekânın bunu yapabildiğini bilmiyordum,"Evet, bazen",Kaygı,Yalnızca okul veya iş için zorunlu olduğunda kullanırım.,Ayda birkaç kez,Bir kısayol (zor işleri benim yerime yapan veya ödevlerimi tamamlayan),Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Katılıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum
12/04/2026 10:49:08,Türkiye,Erkek,2. Yıl (10. Sınıf),"4 - İleri Seviye: Yapay zekâ araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırlılıkları ve olası önyargıları hakkında iyi bir anlayışa sahibim.",Her gün,Fikir fırtınası yapmak ve ilham almak,Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,"Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Çok güveniyorum,Tamamen güvenir ve olduğu gibi kullanırım.,"Hayır, hiç","Evet, sık sık","Heyecan, Umut, Şüphecilik, Coşku",Arkadaşlarımın veya meslektaşlarımın olumlu geri bildirimlerinden sonra denerim.,Günlük,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Orta düzeyde endişe duyuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Katılmıyorum,Kesinlikle Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum
11/04/2026 19:36:01,Türkiye,Erkek,2. Yıl (10. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Fikir fırtınası yapmak ve ilham almak, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması","Çıktıyı bir taslak veya ilham kaynağı olarak kullanır, büyük ölçüde yeniden yazarım.","Yapay zekâ, benim elde edebileceğimden çok daha iyi bir sonuç üretti.",İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen","Evet, bazen","Kaygı, Korku, Şüphecilik",Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Haftada birkaç kez,Kişisel bir öğretmen/rehber (kavramları açıklayan ve öğrenmeme yardımcı olan),Kesinlikle katılmıyorum,Katılıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Az endişe duyuyorum,Orta düzeyde endişe duyuyorum,Son derece endişe duyuyorum,Çok endişe duyuyorum,Son derece endişe duyuyorum,Kesinlikle katılıyorum,Katılıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum
11/04/2026 17:23:43,Türkiye,Erkek,4. Yıl (12. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Uzun belgeleri veya makaleleri özetlemek, Matematik/mantık problemlerini çözmek veya kod yazmak",Üretilen içeriği ayrıntılı şekilde incelemeden/okumadan doğrudan kopyalayıp yapıştırırım.,"Yapay zekâ, benim elde edebileceğimden çok daha iyi bir sonuç üretti.",Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, sık sık","Hayır, hiç","Heyecan, Merak",İlk deneyen kişilerden biri olurum.,Ayda birkaç kez,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Katılmıyorum,Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Çok endişe duyuyorum,Orta düzeyde endişe duyuyorum,Az endişe duyuyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum
11/04/2026 11:13:02,Türkiye,Erkek,4. Yıl (12. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Metin çevirmek veya dil öğrenmek, Matematik/mantık problemlerini çözmek veya kod yazmak, Ödevlere yardımcı olmak / Ders planlaması",Yapay zekâyı yalnızca tamamen kendi yazdığım içeriği gözden geçirmek veya düzeltmek amacıyla kullanırım.,"Kendi çalışmam daha iyi olurdu, ancak yapay zekâ daha hızlıydı.",İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen",Bu konuya hiç dikkat etmedim.,"Merak, Umut, Şüphecilik",Yalnızca okul veya iş için zorunlu olduğunda kullanırım.,Haftada birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Kesinlikle katılmıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Orta düzeyde endişe duyuyorum,Son derece endişe duyuyorum,Çok endişe duyuyorum,Orta düzeyde endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılmıyorum,Kesinlikle Katılmıyorum
10/04/2026 19:33:43,Türkiye,Kadın,2. Yıl (10. Sınıf),"4 - İleri Seviye: Yapay zekâ araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırlılıkları ve olası önyargıları hakkında iyi bir anlayışa sahibim.",Her gün,"Fikir fırtınası yapmak ve ilham almak, Uzun belgeleri veya makaleleri özetlemek, Ödevlere yardımcı olmak / Ders planlaması","Çıktıyı bir taslak veya ilham kaynağı olarak kullanır, büyük ölçüde yeniden yazarım.",Yapay zekâ çıktısı düşük kaliteli/yanlıştı ve büyük ölçüde yeniden yapmam gerekti.,Önem ölçüde zaman tasarrufu sağlıyor.,O kadar fazla zaman alır ki bazen vazgeçer ve işi kendim yaparım.,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, sık sık",Bu konuya hiç dikkat etmedim.,Korku,Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Haftada birkaç kez,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Katılıyorum,Katılmıyorum,Katılıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Orta düzeyde endişe duyuyorum,Son derece endişe duyuyorum,Çok endişe duyuyorum,Son derece endişe duyuyorum,Orta düzeyde endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kesinlikle Katılıyorum,Katılıyorum,Kesinlikle Katılmıyorum
10/04/2026 18:41:50,Türkiye,Erkek,3. Yıl (11. Sınıf),1 - Tamamen Başlangıç Seviyesi: Neredeyse hiçbir bilgim yok. Terimi duydum ancak ne olduğunu ve nasıl kullanılacağını gerçekten bilmiyorum.,Haftada birkaç kez,Fikir fırtınası yapmak ve ilham almak,Üretilen içeriği ayrıntılı şekilde incelemeden/okumadan doğrudan kopyalayıp yapıştırırım.,Yapay zeka ile ben benzer bir sonuç üretirdik.,Zamanım veya çabam üzerinde önemli bir etkisi yok.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Biraz güveniyorum,Tamamen güvenir ve olduğu gibi kullanırım.,"Evet, bazen","Evet, bazen",Kuşku,Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Haftada birkaç kez,Bir kısayol (zor işleri benim yerime yapan veya ödevlerimi tamamlayan),Katılıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Hiç endişe duymuyorum,Hiç endişe duymuyorum,Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle Katılmıyorum
10/04/2026 18:33:38,Türkiye,Kadın,3. Yıl (11. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Her gün,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Ödevlere yardımcı olmak / Ders planlaması",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,Yapay zeka ile ben benzer bir sonuç üretirdik.,Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Pek güvenmiyorum,Cevabından emin olup olmadığını yapay zekâya sorarım.,"Evet, sık sık","Evet, sık sık",Heyecan,İlk deneyen kişilerden biri olurum.,Haftada birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Kesinlikle katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Kesinlikle katılmıyorum,Katılıyorum,Katılıyorum,Orta düzeyde endişe duyuyorum,Az endişe duyuyorum,Az endişe duyuyorum,Orta düzeyde endişe duyuyorum,Hiç endişe duymuyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum
10/04/2026 15:40:25,Türkiye,Erkek,3. Yıl (11. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Metin çevirmek veya dil öğrenmek, Ödevlere yardımcı olmak / Ders planlaması, Görsel veya sunum oluşturmak",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,Yapay zekâ çıktısı düşük kaliteli/yanlıştı ve büyük ölçüde yeniden yapmam gerekti.,İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen","Evet, bazen","Kaygı, Merak, Kuşku",Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Nadiren,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Katılıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle katılmıyorum,Az endişe duyuyorum,Hiç endişe duymuyorum,Az endişe duyuyorum,Az endişe duyuyorum,Az endişe duyuyorum,Kesinlikle katılıyorum,Kesinlikle Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Kesinlikle Katılmıyorum
10/04/2026 14:53:11,Türkiye,Kadın,3. Yıl (11. Sınıf),3 - Orta Seviye: Bazı yapay zekâ araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Haftada birkaç kez,"Fikir fırtınası yapmak ve ilham almak, Ödevlere yardımcı olmak / Ders planlaması",Olası hataları belirlemek amacıyla gözden geçirir ve gerekli durumlarda metni iyileştiririm.,Yapay zekâ çıktısı düşük kaliteli/yanlıştı ve büyük ölçüde yeniden yapmam gerekti.,Önem ölçüde zaman tasarrufu sağlıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama yaparım (ör. Google, Wikipedia).","Evet, bazen",Bu konuya hiç dikkat etmedim.,"Kaygı, Merak, Şüphecilik",Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Ayda birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Katılmıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Katılmıyorum,Katılıyorum,Katılmıyorum,Az endişe duyuyorum,Çok endişe duyuyorum,Son derece endişe duyuyorum,Çok endişe duyuyorum,Çok endişe duyuyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kesinlikle Katılıyorum,Katılıyorum
